iter	Logloss
0	0.506476341
1	0.4115160994
2	0.3643593112
3	0.3299673803
4	0.3199628229
5	0.3074080506
6	0.2931617419
7	0.2913001399
8	0.2883959385
9	0.2867863843
10	0.2863559786
11	0.2853433285
12	0.2824250731
13	0.2805370672
14	0.2804208944
15	0.2806426127
16	0.2802685858
17	0.2802745685
18	0.2792915468
19	0.2794180895
20	0.2789045604
21	0.2786569827
22	0.2785808857
23	0.2786741931
24	0.2786161643
25	0.2786295283
26	0.278602489
27	0.2785831314
28	0.2786325334
29	0.2783819235
30	0.278333385
31	0.2783638064
32	0.278343837
33	0.2783256869
34	0.2783174697
35	0.2782913428
36	0.2782880263
37	0.2782799785
38	0.2782877696
39	0.2782823825
40	0.2782691278
41	0.2781880753
42	0.2781926319
43	0.2781830105
44	0.2781709796
45	0.278167073
46	0.2781562114
47	0.2781512395
48	0.2781365042
49	0.2781058532
50	0.2780880419
51	0.2780190367
52	0.2780207577
53	0.27802485
54	0.2780149883
55	0.2779998542
56	0.2779942977
57	0.2779861843
58	0.277988255
59	0.2779570086
60	0.2779410058
61	0.2779316084
62	0.2779272704
63	0.2779264727
64	0.2779280353
65	0.2779159443
66	0.2779218013
67	0.2779226263
68	0.2779429728
69	0.2779467591
70	0.2779419456
71	0.2779423609
72	0.27793251
73	0.2779293411
74	0.2779265273
75	0.2779253909
76	0.2779234131
77	0.2779141196
78	0.2779113222
79	0.2779130323
80	0.2779072518
81	0.2779010124
82	0.2778970076
83	0.277895434
84	0.2778779121
85	0.277874563
86	0.2778717164
87	0.2778682306
88	0.277867657
89	0.2778632861
90	0.2778554895
91	0.277858855
92	0.2777911064
93	0.2777893308
94	0.2777871017
95	0.2777826707
96	0.2777798679
97	0.2777766007
98	0.2777790429
99	0.2777797368
100	0.2777775951
101	0.2777785512
102	0.277777748
103	0.2777762783
104	0.2777746228
105	0.2777813647
106	0.2777790044
107	0.2777762945
108	0.2777745243
109	0.2777683668
110	0.2777664873
111	0.277765176
112	0.277765695
113	0.2777641816
114	0.2777603844
115	0.2777560518
116	0.2777254284
117	0.2777237128
118	0.2777322196
119	0.2777596031
120	0.2777583902
121	0.2777595703
122	0.2777725136
123	0.2777714755
124	0.2777730818
125	0.27776322
126	0.2777657606
127	0.2777655803
128	0.2777627283
129	0.2777594119
130	0.2777585705
131	0.2777606521
132	0.2777597397
133	0.2777620781
134	0.2777582426
135	0.2777567183
136	0.2777559916
137	0.2777540465
138	0.2777528718
139	0.2777568931
140	0.2777607067
141	0.2777523419
142	0.2777502166
143	0.2777509323
144	0.2777470476
145	0.2777471678
146	0.2777465231
147	0.2777442229
148	0.2777435782
149	0.2777432449
150	0.2777423434
151	0.2777418243
152	0.2777397919
153	0.2777401361
154	0.2777362679
155	0.2777372786
156	0.2777430481
157	0.2777390597
158	0.2777417424
159	0.2777409884
160	0.2777331918
161	0.2777313506
162	0.277730094
163	0.2777295094
164	0.2777307441
165	0.2777293837
166	0.2777372456
167	0.2777368141
168	0.2777365901
169	0.2777355083
170	0.277734115
171	0.2777296404
172	0.2777306675
173	0.2777338746
174	0.2777333392
175	0.277732902
176	0.2777315853
177	0.2777305472
178	0.2777341532
179	0.2777335413
180	0.2777336833
181	0.277736579
182	0.2777344974
183	0.2777336287
184	0.2777551061
185	0.2777477357
186	0.2777476373
187	0.2777477958
188	0.2777450804
189	0.2777492655
190	0.2777492218
191	0.2777478395
192	0.2777460966
193	0.2777454956
194	0.2777503528
195	0.2777500687
196	0.2777493311
197	0.277747397
198	0.2777479925
199	0.2777480581
200	0.2777469271
201	0.2777437746
202	0.2777432173
203	0.2777431244
204	0.2777424742
205	0.2777432337
206	0.2777429387
207	0.2777420645
208	0.2777414853
209	0.2777407259
210	0.2777393709
211	0.2777385404
212	0.2777378193
213	0.2777394856
214	0.2777386661
215	0.2777374313
216	0.2777357431
217	0.2777276952
218	0.2777177132
219	0.2777265861
220	0.277717522
221	0.2777172051
222	0.277715577
223	0.2777146372
224	0.2777136483
225	0.2777137303
226	0.2777129654
227	0.2777119382
228	0.2777100205
229	0.2777098566
230	0.2777095889
231	0.2777060321
232	0.2777070701
233	0.2777056278
234	0.2777046061
235	0.2777040652
236	0.2776987709
237	0.2777000221
238	0.2776990987
239	0.2776978913
240	0.27769493
241	0.2776935259
242	0.2776961265
243	0.2776891441
244	0.2776903515
245	0.2776897833
246	0.2776904171
247	0.2776907012
248	0.2776907831
249	0.2776895101
250	0.2776877563
251	0.277687494
252	0.2776872318
253	0.2776908105
254	0.2776873629
255	0.2776861282
256	0.2776872428
257	0.2776871116
258	0.2776873903
259	0.2776871499
260	0.2776858386
261	0.2776844618
262	0.2776800745
263	0.2776798997
264	0.2776784627
265	0.2776787633
266	0.2776778399
267	0.2776766215
268	0.2776762227
269	0.277673256
270	0.2776729391
271	0.2776727424
272	0.2776690763
273	0.2776670001
274	0.2776663062
275	0.2776601105
276	0.2776611213
277	0.2776595204
278	0.2776598155
279	0.2776598045
280	0.2776614545
281	0.2776603946
282	0.2776595696
283	0.2776569744
284	0.277656357
285	0.2776546906
286	0.2776537181
287	0.2776528712
288	0.2776529477
289	0.2776523412
290	0.2776550457
291	0.2776534886
292	0.2776622631
293	0.2776612633
294	0.2776608153
295	0.2776603563
296	0.277659586
297	0.2776581709
298	0.2776577611
299	0.2776574333
