iter	Passed	Remaining
0	3928	1174708
1	7460	1111649
2	12112	1199120
3	15532	1149373
4	19823	1169587
5	23542	1153575
6	27477	1150139
7	31291	1142152
8	34909	1128736
9	38345	1112009
10	42176	1108100
11	46807	1123391
12	50517	1115262
13	55125	1126128
14	58970	1120437
15	62444	1108397
16	65587	1091835
17	68961	1080396
18	72823	1077027
19	76508	1071114
20	80790	1073360
21	84156	1063428
22	88610	1067184
23	92491	1063648
24	95701	1052715
25	98768	1040870
26	102582	1037221
27	105811	1027878
28	109338	1021750
29	114148	1027336
30	117908	1023144
31	122675	1027409
32	125932	1018907
33	129323	1011764
34	133064	1007485
35	136388	1000185
36	140300	997269
37	144612	997062
38	150804	1009230
39	155237	1009044
40	158279	999863
41	161556	992416
42	165565	989543
43	168676	981387
44	172350	976655
45	175589	969560
46	179555	966545
47	183636	964091
48	187579	960866
49	191110	955552
50	194757	950872
51	198337	945917
52	202007	941431
53	205455	935961
54	208814	930173
55	212754	927003
56	216775	924149
57	221015	922168
58	225060	919313
59	228708	914834
60	231781	908128
61	235500	904017
62	239174	899751
63	242755	895161
64	246063	889615
65	250329	887531
66	254430	884809
67	258253	881101
68	261704	876140
69	265305	871717
70	268931	867397
71	272156	861828
72	275782	857569
73	279060	852264
74	283521	850565
75	287904	848561
76	291258	843514
77	295120	839959
78	298722	835665
79	302099	830774
80	305636	826349
81	309219	822070
82	312621	817335
83	316930	814962
84	321130	812270
85	324890	808449
86	327979	802984
87	331378	798321
88	334779	793690
89	338444	789704
90	341762	784926
91	345052	780119
92	349508	777938
93	353544	774789
94	357470	771383
95	360837	766780
96	364423	762659
97	367715	757944
98	370869	752976
99	374146	748292
100	378261	745288
101	381690	740929
102	386014	738299
103	390394	735743
104	393599	730970
105	397345	727217
106	400512	722420
107	403750	717778
108	407233	713592
109	410885	709711
110	414438	705666
111	419110	703506
112	423119	700206
113	426834	696414
114	430347	692298
115	433635	687836
116	436797	683196
117	440837	679935
118	444165	675579
119	447989	671984
120	452529	669444
121	457026	666808
122	460237	662293
123	463388	657712
124	466636	653291
125	470609	649888
126	473739	645329
127	477149	641170
128	480553	637012
129	484642	633763
130	489304	631240
131	492562	626897
132	496049	622859
133	500001	619405
134	503200	615022
135	506498	610777
136	510277	607118
137	513878	603248
138	517295	599169
139	522085	596669
140	525366	592435
141	528461	588006
142	532157	584256
143	535341	579953
144	539136	576318
145	542812	572555
146	546862	569183
147	550356	565231
148	554782	562229
149	558082	558082
150	562046	554602
151	565346	550468
152	568874	546565
153	572051	542334
154	575846	538694
155	579860	535256
156	583252	531242
157	587748	528229
158	592041	525018
159	595240	520835
160	598699	516889
161	601942	512766
162	605423	508852
163	609022	505043
164	612599	501218
165	615845	497128
166	619288	493205
167	624608	490763
168	627968	486768
169	631549	482949
170	635035	479061
171	638631	475260
172	642220	471456
173	645559	467474
174	648931	463522
175	652381	459632
176	657730	457066
177	661468	453366
178	664773	449371
179	668200	445466
180	671627	441567
181	674766	437486
182	677974	433459
183	681088	429382
184	684550	425531
185	688250	421830
186	693298	418945
187	696954	415207
188	700562	411441
189	704048	407607
190	707050	403500
191	710354	399574
192	713656	395654
193	717747	392171
194	721211	388344
195	726271	385368
196	729732	381535
197	733282	377751
198	736620	373862
199	740205	370102
200	743267	366087
201	746721	362271
202	750577	358650
203	754307	354968
204	758659	351574
205	762918	348128
206	766485	344362
207	769674	340432
208	772612	336400
209	775949	332549
210	779761	328904
211	783091	325056
212	786561	321271
213	790497	317676
214	795486	314494
215	798660	310590
216	802120	306801
217	805427	302959
218	808908	299185
219	812535	295467
220	816197	291762
221	820162	288165
222	823655	284401
223	828390	281061
224	832132	277377
225	835063	273427
226	838673	269705
227	842013	265898
228	845565	262162
229	848964	258380
230	852356	254599
231	855791	250835
232	859956	247283
233	864324	243783
234	868038	240095
235	871594	236364
236	875151	232635
237	878432	228835
238	881914	225091
239	885265	221316
240	888813	217593
241	892516	213908
242	897155	210443
243	901127	206816
244	904704	203096
245	908300	199382
246	911655	195618
247	915145	191885
248	918770	188181
249	921827	184365
250	925528	180680
251	930024	177147
252	933694	173453
253	937071	169705
254	940538	165977
255	944297	162301
256	947690	158563
257	950834	154786
258	954055	151028
259	957174	147257
260	961904	143732
261	966452	140172
262	969786	136433
263	973121	132698
264	976859	129019
265	980415	125316
266	983556	121563
267	986874	117835
268	990400	114135
269	995412	110601
270	999506	106958
271	1003332	103284
272	1006759	99569
273	1010472	95884
274	1013589	92144
275	1017033	88437
276	1020334	84720
277	1023790	81019
278	1028102	77384
279	1032504	73750
280	1036406	70077
281	1040004	66383
282	1043389	62677
283	1046523	58959
284	1049994	55262
285	1053434	51566
286	1057160	47885
287	1061024	44209
288	1065332	40548
289	1069146	36867
290	1072515	33170
291	1075712	29471
292	1079117	25780
293	1082526	22092
294	1086062	18407
295	1089637	14724
296	1093803	11048
297	1098197	7370
298	1102178	3686
299	1105372	0
